"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","13.68","$1.56B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","208.86","$120.26B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","12.02","$510.68M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","67.92","$10.06B","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","19.82","$1.9B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"AHC","A.H. Belo Corporation","3.95","$85.49M","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","51.64","$8.78B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","6.7","$494.45M","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/aten",
"AAC","AAC Holdings, Inc.","2.97","$73.07M","2014","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/aac",
"AIR","AAR Corp.","37.88","$1.33B","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","53.02","$3.85B","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","19.82","$42.25B","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","75.25","$132.16B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","80.85","$121.62B","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","20.92","$1.38B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/anf",
"AGD","Aberdeen Global Dynamic Dividend Fund","9.72","$121.98M","2006","n/a","n/a","https://www.nasdaq.com/symbol/agd",
"AWP","Aberdeen Global Premier Properties Fund","5.74","$490.24M","2007","n/a","n/a","https://www.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","11.89","$155.45M","2011","n/a","n/a","https://www.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","6.99","$93.59M","1992","n/a","n/a","https://www.nasdaq.com/symbol/jeq",
"AOD","Aberdeen Total Dynamic Dividend Fund","8.34","$897.33M","2007","n/a","n/a","https://www.nasdaq.com/symbol/aod",
"ABM","ABM Industries Incorporated","36.2","$2.39B","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","29.48","$2.4B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc","159.23","$101.71B","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","9.23","$948.29M","n/a","Consumer Durables","Publishing","https://www.nasdaq.com/symbol/acco",
"ATV","Acorn International, Inc.","29.165","$78.17M","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/atv",
"ATU","Actuant Corporation","24.46","$1.5B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands, Inc. ","131.09","$5.23B","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","23.64","$1.77B","2016","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/golf",
"ADX","Adams Diversified Equity Fund, Inc.","14.08","$1.42B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","16.62","$481.91M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/peo",
"AGRO","Adecoagro S.A.","7.43","$866.01M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/agro",
"ADNT","Adient plc","20.38","$1.91B","2016","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adnt",
"ADT","ADT Inc.","8.05","$6.17B","2018","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","48.47","$2.8B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/atge",
"AAP","Advance Auto Parts Inc","169.99","$12.39B","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","27.33","$2.42B","2016","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","25.91","$1.48B","2014","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/wms",
"ASIX","AdvanSix Inc.","32.34","$963.82M","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/asix",
"AVK","Advent Claymore Convertible Securities and Income Fund","14.52","$501.31M","2003","n/a","n/a","https://www.nasdaq.com/symbol/avk",
"ACM","AECOM","30.44","$4.75B","2007","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/acm",
"AEB","Aegon NV","22","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.94","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","5.16","$10.42B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.91","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeh",
"AER","Aercap Holdings N.V.","48.07","$7.06B","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aer",
"HIVE","Aerohive Networks, Inc.","4.43","$246.11M","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/hive",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","40.18","$3.15B","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/ajrd",
"AMG","Affiliated Managers Group, Inc.","108.96","$5.74B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amg",
"AFL","Aflac Incorporated","49.28","$37.22B","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/afl",
"MITT","AG Mortgage Investment Trust, Inc.","17.28","$496.69M","2011","n/a","n/a","https://www.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","25.4","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","25.75","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mitt^b",
"AGCO","AGCO Corporation","64.76","$5.07B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","78.3","$24.87B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/a",
"AEM","Agnico Eagle Mines Limited","43.14","$10.13B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aem",
"ADC","Agree Realty Corporation","65.65","$2.46B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/adc",
"AL","Air Lease Corporation","38.3","$4.25B","2011","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/al",
"APD","Air Products and Chemicals, Inc.","174.08","$38.23B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/apd",
"AYR","Aircastle Limited","20.34","$1.55B","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/ayr",
"AKS","AK Steel Holding Corporation","2.98","$940.3M","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/aks",
"ALP^Q","Alabama Power Company","25.05","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/alp^q",
"ALG","Alamo Group, Inc.","88.98","$1.04B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/alg",
"AGI","Alamos Gold Inc.","4.54","$1.78B","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/agi",
"ALK","Alaska Air Group, Inc.","66.32","$8.18B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/alk",
"AIN","Albany International Corporation","75.47","$2.44B","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","81.37","$8.64B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/alb",
"AA","Alcoa Corporation","28.27","$5.22B","2016","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/aa",
"ALEX","Alexander & Baldwin, Inc.","24.8","$1.79B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/alex",
"ALX","Alexander&#39;s, Inc.","369.35","$1.89B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/alx",
"ARE","Alexandria Real Estate Equities, Inc.","134.86","$15.2B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/are",
"ARE^D","Alexandria Real Estate Equities, Inc.","36.26","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/are^d",
"AQN","Algonquin Power & Utilities Corp.","10.75","$5.26B","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aqn",
"AQNA","Algonquin Power & Utilities Corp.","26.13","n/a","2018","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aqna",
"BABA","Alibaba Group Holding Limited","166.15","$430.69B","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",
"Y","Alleghany Corporation","648.84","$9.63B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/y",
"ATI","Allegheny Technologies Incorporated","27.92","$3.51B","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/ati",
"ALLE","Allegion plc","91.56","$8.7B","2013","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/alle",
"AGN","Allergan plc.","139.07","$46.91B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agn",
"ALE","Allete, Inc.","79.39","$4.08B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/ale",
"AKP","Alliance California Municipal Income Fund Inc","14.43","$123.44M","2002","n/a","n/a","https://www.nasdaq.com/symbol/akp",
"ADS","Alliance Data Systems Corporation","173.21","$9.44B","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ads",
"AFB","Alliance National Municipal Income Fund Inc","12.85","$369.37M","2002","n/a","n/a","https://www.nasdaq.com/symbol/afb",
"AWF","Alliance World Dollar Government Fund II","11.5","$991.64M","1993","n/a","n/a","https://www.nasdaq.com/symbol/awf",
"AB","AllianceBernstein Holding L.P.","30","$2.89B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/ab",
"CBH","AllianzGI Convertible & Income 2024 Target Term Fund","8.97","$163.77M","2017","n/a","n/a","https://www.nasdaq.com/symbol/cbh",
"NCV","AllianzGI Convertible & Income Fund","6.35","$569.05M","2003","n/a","n/a","https://www.nasdaq.com/symbol/ncv",
"NCV^A","AllianzGI Convertible & Income Fund","24.92","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ncv^a",
"NCZ","AllianzGI Convertible & Income Fund II","5.49","$414.95M","2003","n/a","n/a","https://www.nasdaq.com/symbol/ncz",
"NCZ^A","AllianzGI Convertible & Income Fund II","24","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ncz^a",
"ACV","AllianzGI Diversified Income & Convertible Fund","21.62","$222.93M","2015","n/a","n/a","https://www.nasdaq.com/symbol/acv",
"NIE","AllianzGI Equity & Convertible Income Fund","21.17","$586.6M","2007","n/a","n/a","https://www.nasdaq.com/symbol/nie",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","12.15","$1.15B","2005","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/nfj",
"ALSN","Allison Transmission Holdings, Inc.","49.57","$6.43B","2012","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/alsn",
"ALL","Allstate Corporation (The)","94.38","$31.33B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/all",
"ALL^A","Allstate Corporation (The)","25.29","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^a",
"ALL^B","Allstate Corporation (The)","25.08","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^b",
"ALL^D","Allstate Corporation (The)","25.51","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^d",
"ALL^E","Allstate Corporation (The)","25.34","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^e",
"ALL^F","Allstate Corporation (The)","25.76","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^f",
"ALL^G","Allstate Corporation (The)","24.96","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^g",
"ALLY","Ally Financial Inc.","27.01","$10.94B","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/ally",
"ALLY^A","Ally Financial Inc.","25.98","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ally^a",
"AYX","Alteryx, Inc.","71.91","$4.41B","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ayx",
"ATUS","Altice USA, Inc.","21.59","$15.44B","2017","Consumer Services","Television Services","https://www.nasdaq.com/symbol/atus",
"MO","Altria Group","48.74","$91.34B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/mo",
"ACH","Aluminum Corporation of China Limited","9.24","$5.51B","2001","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/ach",
"AMBR","Amber Road, Inc.","9.4","$261.71M","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ambr",
"ABEV","Ambev S.A.","4.95","$77.82B","2013","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/abev",
"AMC","AMC Entertainment Holdings, Inc.","13.79","$1.43B","2013","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/amc",
"AEE","Ameren Corporation","69.68","$17.02B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/aee",
"AMRC","Ameresco, Inc.","15.23","$700.22M","2010","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/amrc",
"AMOV","America Movil, S.A.B. de C.V.","14.76","$48.73B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","14.99","$49.49B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amx",
"AAT","American Assets Trust, Inc.","44.05","$2.08B","2011","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/aat",
"AXL","American Axle & Manufacturing Holdings, Inc.","16.83","$1.88B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/axl",
"ACC","American Campus Communities Inc","45.63","$6.25B","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/acc",
"AEO","American Eagle Outfitters, Inc.","20.07","$3.54B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/aeo",
"AEP","American Electric Power Company, Inc.","79.27","$39.09B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aep",
"AEL","American Equity Investment Life Holding Company","32.77","$2.96B","2003","Finance","Life Insurance","https://www.nasdaq.com/symbol/ael",
"AXP","American Express Company","107.38","$91.73B","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/axp",
"AFG","American Financial Group, Inc.","98.1","$8.76B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afg",
"AFGE","American Financial Group, Inc.","25.84","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afge",
"AFGH","American Financial Group, Inc.","25.82","n/a","2015","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afgh",
"AMH","American Homes 4 Rent","22.97","$6.81B","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/amh",
"AMH^D","American Homes 4 Rent","25.01","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/amh^d",
"AMH^E","American Homes 4 Rent","24.62","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/amh^e",
"AMH^F","American Homes 4 Rent","23.0593","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/amh^f",
"AMH^G","American Homes 4 Rent","23.26","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/amh^g",
"AMH^H","American Homes 4 Rent","24.4311","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/amh^h",
"AIG","American International Group, Inc.","42.32","$37.44B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/aig",
"AIG.WS","American International Group, Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/aig.ws",
"AMID","American Midstream Partners, LP","4.19","$225.49M","2011","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/amid",
"ARL","American Realty Investors, Inc.","13.17","$210.68M","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/arl",
"ARA","American Renal Associates Holdings, Inc","12.9","$419.47M","2016","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/ara",
"AWR","American States Water Company","69.64","$2.56B","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/awr",
"AMT","American Tower Corporation (REIT)","177.82","$78.33B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/amt",
"AVD","American Vanguard Corporation","17.88","$542.12M","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/avd",
"AWK","American Water Works","98.05","$17.71B","2008","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/awk",
"COLD","Americold Realty Trust","28.75","$4.25B","2018","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cold",
"APU","AmeriGas Partners, L.P.","29.75","$2.77B","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/apu",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","130.68","$17.81B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amp",
"ABC","AmerisourceBergen Corporation (Holding Co)","86.66","$18.29B","n/a","Health Care","Other Pharmaceuticals","https://www.nasdaq.com/symbol/abc",
"ANFI","Amira Nature Foods Ltd","1.0011","$37.96M","2012","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/anfi",
"AMN","AMN Healthcare Services Inc","55.54","$2.6B","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/amn",
"AMRX","Amneal Pharmaceuticals, Inc.","13.74","$4.1B","2018","n/a","n/a","https://www.nasdaq.com/symbol/amrx",
"AP","Ampco-Pittsburgh Corporation","3.42","$42.73M","n/a","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","92.69","$27.93B","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aph",
"AXR","AMREP Corporation","6.47","$52.59M","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/axr",
"AME","AMTEK, Inc.","79.01","$18.34B","n/a","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/ame",
"APC","Anadarko Petroleum Corporation","45.23","$22.81B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apc",
"PLAN","Anaplan, Inc.","33.95","$4.24B","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/plan",
"ANDX","Andeavor Logistics LP","35.78","$8.78B","2011","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/andx",
"AU","AngloGold Ashanti Limited","13.58","$5.59B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/au",
"BUD","Anheuser-Busch Inbev SA","77.69","$152B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/bud",
"AXE","Anixter International Inc.","62.64","$2.1B","n/a","Consumer Non-Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/axe",
"NLY","Annaly Capital Management Inc","10.19","$14.27B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/nly",
"NLY^C","Annaly Capital Management Inc","25.5006","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nly^c",
"NLY^D","Annaly Capital Management Inc","25.47","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nly^d",
"NLY^F","Annaly Capital Management Inc","25.62","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nly^f",
"NLY^G","Annaly Capital Management Inc","24.09","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nly^g",
"NLY^H","Annaly Capital Management Inc","25.715","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nly^h",
"AMGP","Antero Midstream GP LP","13.93","$2.59B","2017","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/amgp",
"AM","Antero Midstream Partners LP","26.11","$4.88B","2014","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/am",
"AR","Antero Resources Corporation","9.61","$2.96B","2013","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ar",
"ANTM","Anthem, Inc.","311.58","$80.59B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/antm",
"ANH","Anworth Mortgage Asset  Corporation","4.43","$436.2M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/anh",
"ANH^A","Anworth Mortgage Asset  Corporation","25.7245","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/anh^a",
"ANH^B","Anworth Mortgage Asset  Corporation","24.5","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/anh^b",
"ANH^C","Anworth Mortgage Asset  Corporation","24.9299","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/anh^c",
"AON","Aon plc","171.97","$41.42B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/aon",
"APA","Apache Corporation","33.3","$12.64B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apa",
"AIV","Apartment Investment and Management Company","49.61","$7.37B","1994","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/aiv",
"AIV^A","Apartment Investment and Management Company","25.89","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/aiv^a",
"APY","Apergy Corporation","36.79","$2.85B","2018","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/apy",
"APHA","Aphria Inc.","9.6","$2.4B","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/apha",
"ARI","Apollo Commercial Real Estate Finance","17.9","$2.4B","2009","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ari",
"ARI^C","Apollo Commercial Real Estate Finance","25.45","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ari^c",
"APO","Apollo Global Management, LLC","30.24","$12.37B","2011","Finance","Investment Managers","https://www.nasdaq.com/symbol/apo",
"APO^A","Apollo Global Management, LLC","24.96","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/apo^a",
"APO^B","Apollo Global Management, LLC","24.69","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/apo^b",
"AIY","Apollo Investment Corporation","25.6","n/a","2013","n/a","n/a","https://www.nasdaq.com/symbol/aiy",
"AFT","Apollo Senior Floating Rate Fund Inc.","14.68","$228.61M","2011","n/a","n/a","https://www.nasdaq.com/symbol/aft",
"AIF","Apollo Tactical Income Fund Inc.","14.45","$209.01M","2013","n/a","n/a","https://www.nasdaq.com/symbol/aif",
"APLE","Apple Hospitality REIT, Inc.","16.36","$3.74B","2015","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/aple",
"AIT","Applied Industrial Technologies, Inc.","57.93","$2.25B","n/a","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/ait",
"ATR","AptarGroup, Inc.","101.94","$6.4B","n/a","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/atr",
"APTV","Aptiv PLC","80.95","$21.05B","2011","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/aptv",
"WTR","Aqua America, Inc.","35.62","$6.34B","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/wtr",
"AQ","Aquantia Corp.","8.33","$290.34M","2017","Technology","Semiconductors","https://www.nasdaq.com/symbol/aq",
"WAAS","AquaVenture Holdings Limited","21.26","$568.3M","2016","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/waas",
"ARMK","Aramark","31.8","$7.83B","2013","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/armk",
"ABR","Arbor Realty Trust","12.3","$1.06B","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/abr",
"ABR^A","Arbor Realty Trust","25.28","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abr^a",
"ABR^B","Arbor Realty Trust","25.5745","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abr^b",
"ABR^C","Arbor Realty Trust","25.3","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abr^c",
"ARC","ARC Document Solutions, Inc.","2.52","$115.39M","2004","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/arc",
"MT","ArcelorMittal","23.08","$23.39B","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/mt",
"ARCH","Arch Coal, Inc.","88.37","$1.66B","2016","Energy","Coal Mining","https://www.nasdaq.com/symbol/arch",
"ADM","Archer-Daniels-Midland Company","41.98","$23.54B","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/adm",
"AROC","Archrock, Inc.","9.69","$1.25B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/aroc",
"ARNC","Arconic Inc.","17.55","$8.48B","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/arnc",
"ARCO","Arcos Dorados Holdings Inc.","8.5","$1.77B","2011","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/arco",
"ACA","Arcosa, Inc.","31.46","$1.53B","2018","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aca",
"RCUS","Arcus Biosciences, Inc.","11.89","$528.55M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rcus",
"ARD","Ardagh Group S.A.","12.77","$3.02B","2017","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/ard",
"ASC","Ardmore Shipping Corporation","5.51","$182.37M","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/asc",
"AFC","Ares Capital Corporation","25.78","$206.24M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/afc",
"ACRE","Ares Commercial Real Estate Corporation","14.04","$402.93M","2012","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/acre",
"ARDC","Ares Dynamic Credit Allocation Fund, Inc.","14.97","$343.75M","2012","n/a","n/a","https://www.nasdaq.com/symbol/ardc",
"ARES","Ares Management Corporation","23.23","$5.08B","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/ares",
